name,shortName,stationId,totalDocks,hasKiosk,hasKeyDispenser,rentalMethods,lon,lat
MIT at Mass Ave / Amherst St,M32006,f83493c0-0de8-11e7-991c-3863bb43a7d0,27,True,True,"['CREDITCARD', 'KEY']",-71.093198,42.3581
Central Square at Mass Ave / Essex St,M32011,f8349440-0de8-11e7-991c-3863bb43a7d0,19,True,True,"['CREDITCARD', 'KEY']",-71.1031,42.36507
Harvard Kennedy School at Bennett St / Eliot St,M32016,f834952a-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.12188071012497,42.3722168027866
One Broadway / Kendall Sq at Main St / 3rd St,M32003,f8349672-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.0831107199192,42.36224178650923
Harvard Square at Brattle St / Eliot St,M32017,f8349745-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.12098601080106,42.373328798874056
Harvard Square at Mass Ave/ Dunster,M32018,f83497b9-0de8-11e7-991c-3863bb43a7d0,19,True,True,"['CREDITCARD', 'KEY']",-71.118579,42.373268
Lafayette Square at Mass Ave / Main St / Columbia St,M32009,f8349824-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.10057324171066,42.36346469304347
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,M32012,f8349b20-0de8-11e7-991c-3863bb43a7d0,17,True,False,"['CREDITCARD', 'KEY']",-71.105495,42.366426
MIT Stata Center at Vassar St / Main St,M32005,f8349de4-0de8-11e7-991c-3863bb43a7d0,35,True,False,"['CREDITCARD', 'KEY']",-71.09115600585936,42.3621312344991
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,M32019,f834a1de-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.07679277658461,42.367074071490926
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,M32014,f834a3a0-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.114214,42.366621
